Title,Year,Director,Genre
The Shawshank Redemption,1994,Frank Darabont,Drama
The Godfather,1972,Francis Ford Coppola,Crime
The Dark Knight,2008,Christopher Nolan,Action
Schindler's List,1993,Steven Spielberg,Biography
Pulp Fiction,1994,Quentin Tarantino,Crime
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Adventure
Forrest Gump,1994,Robert Zemeckis,Drama
Inception,2010,Christopher Nolan,Action
The Matrix,1999,Lana Wachowski,Action
The Silence of the Lambs,1991,Jonathan Demme,Thriller
